city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
São Paulo,2155-05-14,142,34.6,45.9,26.1,33.1,24.7,79,4,Rural,821
Delhi,2155-05-15,125,42.1,38.1,4.8,69.6,13.8,31,9,Urban,1696
Beijing,2155-05-16,465,52.3,26.3,46.0,32.0,22.6,26,14,Urban,1781
Tokyo,2155-05-17,380,35.5,37.5,21.8,19.5,22.3,81,5,Rural,837
Beijing,2155-05-18,200,27.4,47.7,35.3,39.1,21.2,75,8,Urban,1540
Beijing,2155-05-19,220,41.7,67.2,22.9,36.3,2.4,36,11,Suburban,1673
Los Angeles,2155-05-20,149,39.6,62.6,31.6,31.9,15.3,47,10,Urban,473
Delhi,2155-05-21,242,48.4,39.2,42.0,3.3,6.8,87,9,Urban,739
Beijing,2155-05-22,9,49.0,42.8,31.5,61.3,4.5,36,10,Urban,920
Mexico City,2155-05-23,86,47.2,59.6,15.1,35.9,22.0,58,10,Suburban,348
São Paulo,2155-05-24,338,34.2,43.2,26.7,38.3,-2.3,39,8,Urban,913
Cairo,2155-05-25,122,13.9,69.6,18.2,51.6,8.5,28,2,Urban,1713
Mexico City,2155-05-26,70,20.2,14.5,47.8,54.7,37.7,93,6,Urban,971
Beijing,2155-05-27,223,44.1,60.8,25.3,37.5,27.4,73,11,Suburban,1716
Mexico City,2155-05-28,212,55.0,44.2,19.1,36.4,20.5,77,9,Urban,1426
Tokyo,2155-05-29,237,37.7,71.5,27.4,19.9,32.3,80,7,Urban,651
Mexico City,2155-05-30,147,34.2,68.0,43.6,23.6,4.8,70,3,Suburban,649
Delhi,2155-05-31,12,32.8,58.5,24.7,41.4,-2.6,46,11,Urban,776
Cairo,2155-06-01,70,15.1,12.9,36.1,20.0,29.2,89,6,Urban,430
Tokyo,2155-06-02,312,19.6,20.0,31.1,35.5,38.0,27,6,Urban,941
Delhi,2155-06-03,202,33.8,28.5,12.7,51.8,11.3,32,9,Urban,1850
Mexico City,2155-06-04,469,41.9,43.7,26.8,45.8,17.3,25,12,Urban,1265
London,2155-06-05,367,30.4,36.5,25.3,52.2,10.2,83,9,Suburban,84
Delhi,2155-06-06,38,28.1,22.8,37.0,38.7,23.7,28,10,Urban,439
Tokyo,2155-06-07,124,31.5,41.2,24.5,52.3,9.7,66,9,Urban,191
Delhi,2155-06-08,216,35.3,48.6,47.0,28.0,38.9,74,2,Suburban,875
Beijing,2155-06-09,353,27.0,37.1,34.0,47.0,28.3,58,11,Suburban,1635
Tokyo,2155-06-10,356,35.0,37.1,32.5,29.7,28.8,91,12,Urban,1264
Tokyo,2155-06-11,101,7.1,55.1,36.4,35.7,33.1,90,5,Urban,954
Delhi,2155-06-12,451,29.9,67.1,28.4,50.6,19.7,84,5,Urban,607
London,2155-06-13,107,28.9,38.3,13.2,32.8,36.3,22,6,Urban,297
Mexico City,2155-06-14,442,20.0,24.5,22.8,29.4,17.4,61,9,Urban,1101
London,2155-06-15,496,45.3,52.2,21.5,38.3,28.4,88,12,Suburban,1341
Beijing,2155-06-16,7,47.5,65.9,29.7,56.8,-1.7,27,17,Urban,1826
São Paulo,2155-06-17,232,15.6,58.1,19.7,43.6,9.3,58,5,Rural,761
Los Angeles,2155-06-18,175,19.1,27.8,31.4,28.5,17.8,39,2,Urban,145
Los Angeles,2155-06-19,408,57.3,14.2,41.1,23.3,24.6,67,4,Urban,1228
Beijing,2155-06-20,281,28.1,86.7,21.6,42.2,-1.9,86,9,Urban,1519
Beijing,2155-06-21,82,30.6,38.5,18.1,37.3,34.8,29,9,Urban,942
Delhi,2155-06-22,219,59.9,49.9,20.5,46.1,28.9,73,10,Urban,1118
Delhi,2155-06-23,273,33.3,78.1,31.4,47.3,4.7,80,8,Urban,208
Tokyo,2155-06-24,391,41.7,97.5,31.6,38.3,23.6,94,6,Urban,1177
Mexico City,2155-06-25,290,40.1,46.5,41.0,42.5,11.8,83,11,Rural,596
Mexico City,2155-06-26,444,48.0,37.0,25.9,31.2,11.1,36,8,Suburban,1572
Beijing,2155-06-27,356,44.8,36.7,25.1,11.0,25.2,48,14,Urban,752
Los Angeles,2155-06-28,69,34.0,5.0,18.6,50.2,4.4,48,9,Suburban,932
Beijing,2155-06-29,390,28.2,74.7,29.3,38.8,35.6,43,10,Urban,254
London,2155-06-30,400,59.3,38.7,17.3,44.1,17.3,70,10,Urban,1240
Delhi,2155-07-01,135,34.8,33.5,17.7,42.7,32.6,92,5,Urban,64
Delhi,2155-07-02,23,43.3,60.7,21.1,49.4,3.2,30,5,Urban,1481
Delhi,2155-07-03,315,60.5,62.1,30.2,30.2,21.3,44,14,Suburban,716
Delhi,2155-07-04,415,47.8,100.7,15.2,29.5,29.3,60,16,Urban,1479
Mexico City,2155-07-05,346,59.6,5.1,34.9,21.3,26.7,56,13,Suburban,1359
Los Angeles,2155-07-06,351,7.2,69.9,31.0,31.1,27.0,23,5,Rural,706
Beijing,2155-07-07,344,30.3,12.1,23.7,58.6,38.5,37,13,Urban,1108
Los Angeles,2155-07-08,374,12.3,38.3,29.9,55.8,34.6,67,12,Urban,638
Cairo,2155-07-09,110,28.7,36.7,10.1,36.0,38.0,67,3,Suburban,1211
Los Angeles,2155-07-10,364,49.6,86.1,33.3,41.4,37.7,70,10,Suburban,850
Mexico City,2155-07-11,395,41.1,45.6,22.5,31.0,27.2,92,8,Urban,100
Beijing,2155-07-12,287,30.9,50.3,13.2,32.4,21.2,81,12,Suburban,792
Mexico City,2155-07-13,331,35.3,61.4,9.7,43.5,35.7,27,6,Suburban,1103
Delhi,2155-07-14,233,46.4,48.9,31.0,72.4,17.7,56,7,Urban,1350
Delhi,2155-07-15,20,40.2,78.9,30.8,31.7,27.7,49,7,Suburban,286
Delhi,2155-07-16,29,34.1,26.4,25.5,33.9,-4.7,36,10,Suburban,1520
Beijing,2155-07-17,291,56.0,40.5,26.5,41.1,12.1,75,19,Rural,1597
Delhi,2155-07-18,220,65.4,44.5,18.2,56.6,36.4,44,11,Urban,1126
Beijing,2155-07-19,14,9.5,67.0,34.9,46.2,-1.1,42,5,Urban,1969
London,2155-07-20,327,43.8,30.7,50.9,37.8,25.7,69,8,Urban,1299
Beijing,2155-07-21,20,56.3,57.0,9.6,46.6,31.4,40,8,Urban,1692
Beijing,2155-07-22,45,38.2,64.2,43.1,29.0,38.3,52,7,Suburban,726
Beijing,2155-07-23,55,14.8,23.4,31.7,54.7,4.5,34,10,Urban,748
Beijing,2155-07-24,77,33.9,16.6,33.2,38.0,3.0,40,10,Urban,796
Delhi,2155-07-25,356,39.1,1.6,36.4,55.6,-1.9,41,11,Suburban,1636
Mexico City,2155-07-26,3,4.5,36.1,40.1,27.5,15.1,31,0,Urban,1110
Delhi,2155-07-27,216,35.9,74.3,28.2,32.1,0.5,52,3,Urban,1644
Beijing,2155-07-28,15,48.2,31.9,37.1,45.2,25.0,37,7,Urban,1120
Mexico City,2155-07-29,331,68.8,70.7,26.0,58.7,14.9,61,18,Urban,1106
Beijing,2155-07-30,261,22.7,24.1,38.6,52.5,2.0,22,7,Urban,153
Cairo,2155-07-31,496,22.7,7.5,22.2,27.5,13.6,27,6,Urban,1080
Delhi,2155-08-01,97,19.9,43.3,30.1,44.7,12.7,40,3,Urban,927
Beijing,2155-08-02,467,30.4,38.0,35.5,79.0,15.9,30,2,Rural,1169
Delhi,2155-08-03,306,45.4,100.7,26.1,50.2,39.3,26,9,Suburban,1498
Tokyo,2155-08-04,400,57.4,90.2,27.6,46.1,3.1,28,8,Suburban,1050
Delhi,2155-08-05,334,35.7,74.2,63.8,36.7,20.6,39,7,Urban,1572
Beijing,2155-08-06,149,61.8,26.6,23.8,21.6,28.6,28,17,Suburban,1017
Beijing,2155-08-07,388,70.7,56.9,28.9,36.6,23.7,36,10,Urban,1098
Tokyo,2155-08-08,386,36.8,60.6,28.7,57.9,28.7,31,9,Suburban,1329
Mexico City,2155-08-09,379,47.3,111.5,20.6,52.4,-0.7,79,7,Suburban,1356
Beijing,2155-08-10,184,23.0,65.9,20.1,26.8,27.9,82,10,Rural,571
Mexico City,2155-08-11,370,61.4,34.7,26.0,21.8,35.4,83,12,Suburban,1806
Los Angeles,2155-08-12,89,37.5,56.6,39.3,31.0,3.0,60,11,Suburban,801
Delhi,2155-08-13,483,40.2,25.9,30.5,48.8,38.7,22,11,Urban,108
Delhi,2155-08-14,365,44.3,82.4,25.3,40.1,16.3,86,10,Urban,1586
Delhi,2155-08-15,270,53.6,23.1,37.9,33.7,29.7,71,3,Urban,632
Beijing,2155-08-16,416,47.1,51.9,25.2,28.7,27.7,39,11,Urban,927
Mexico City,2155-08-17,293,25.5,54.4,24.9,18.4,15.0,72,12,Urban,1484
Tokyo,2155-08-18,373,25.7,30.9,20.7,39.4,5.0,44,5,Urban,1298
Mexico City,2155-08-19,481,17.6,43.4,27.2,33.3,1.8,39,9,Suburban,923
Delhi,2155-08-20,186,23.7,24.8,27.5,44.1,24.4,45,4,Suburban,670
Beijing,2155-08-21,53,59.2,37.7,14.4,41.9,13.9,56,10,Suburban,1395
Beijing,2155-08-22,351,44.7,25.5,48.6,30.0,18.4,38,16,Suburban,174
Mexico City,2155-08-23,326,30.3,33.4,16.0,38.5,18.5,39,14,Urban,421
Mexico City,2155-08-24,73,41.0,6.1,39.6,17.6,31.7,22,9,Urban,805
Mexico City,2155-08-25,362,73.1,72.0,17.7,56.6,-2.9,87,15,Urban,726
São Paulo,2155-08-26,329,24.4,7.9,29.8,29.4,36.6,57,11,Suburban,1731
Delhi,2155-08-27,483,43.6,32.3,23.0,30.0,30.6,78,8,Suburban,534
Los Angeles,2155-08-28,72,33.0,31.5,30.8,47.1,23.4,25,11,Urban,136
London,2155-08-29,169,57.7,54.9,30.4,36.1,-2.0,56,12,Suburban,760
Delhi,2155-08-30,26,5.2,32.5,26.3,50.5,7.2,92,7,Suburban,1824
Los Angeles,2155-08-31,222,9.5,65.5,31.9,42.3,25.8,58,9,Urban,73
Delhi,2155-09-01,11,35.5,21.7,39.8,34.4,23.5,60,10,Urban,1516
Beijing,2155-09-02,322,43.7,76.4,24.5,33.5,31.2,94,15,Suburban,1172
Beijing,2155-09-03,485,40.8,72.7,31.9,47.2,2.4,32,20,Urban,588
Delhi,2155-09-04,171,59.0,45.1,26.7,38.9,22.4,41,11,Urban,682
Mexico City,2155-09-05,9,41.9,77.3,26.4,32.0,18.1,57,7,Urban,334
Beijing,2155-09-06,79,8.2,40.4,40.1,35.2,24.6,22,1,Suburban,1892
Delhi,2155-09-07,205,28.1,21.2,38.8,35.0,1.1,65,0,Suburban,1003
Mexico City,2155-09-08,28,18.2,41.2,33.7,29.6,2.2,49,3,Suburban,1229
Beijing,2155-09-09,381,1.0,46.1,33.8,52.0,-1.2,29,1,Rural,1411
Delhi,2155-09-10,115,28.0,57.2,31.4,15.4,-0.3,40,8,Rural,1723
London,2155-09-11,273,20.8,63.5,33.8,51.8,3.3,91,6,Suburban,1582
São Paulo,2155-09-12,498,28.3,71.4,25.8,39.5,6.4,62,2,Urban,1702
Beijing,2155-09-13,46,35.4,30.8,23.6,29.8,15.5,83,2,Urban,318
São Paulo,2155-09-14,242,56.5,90.2,26.2,47.4,13.9,80,8,Urban,1677
São Paulo,2155-09-15,53,50.4,70.6,36.1,55.8,9.8,52,9,Urban,439
Beijing,2155-09-16,192,33.7,55.2,50.4,44.4,24.4,45,12,Suburban,380
Tokyo,2155-09-17,74,28.2,57.0,43.9,47.6,35.6,67,3,Urban,647
Los Angeles,2155-09-18,478,31.0,43.5,31.9,79.4,26.7,59,9,Urban,1399
London,2155-09-19,102,32.9,25.3,40.4,37.9,25.7,73,3,Urban,107
Delhi,2155-09-20,342,31.7,92.2,33.9,26.0,30.0,27,11,Rural,1723
Los Angeles,2155-09-21,426,57.5,51.5,51.2,49.8,35.9,52,9,Urban,1597
Delhi,2155-09-22,275,44.9,51.6,39.2,33.7,5.7,90,12,Suburban,817
Los Angeles,2155-09-23,280,39.9,63.0,28.8,35.0,29.8,32,7,Urban,470
Delhi,2155-09-24,349,30.9,39.0,42.6,32.0,21.1,76,5,Urban,1104
Los Angeles,2155-09-25,157,20.3,31.7,41.4,33.5,10.5,70,6,Rural,879
Tokyo,2155-09-26,261,34.9,24.9,52.7,45.8,-4.0,76,7,Urban,1697
Beijing,2155-09-27,191,33.4,59.9,35.7,51.4,31.9,79,12,Rural,1138
Beijing,2155-09-28,449,50.3,58.1,30.8,38.5,39.0,86,13,Urban,1251
Delhi,2155-09-29,310,41.0,32.7,25.2,34.5,6.3,35,10,Urban,596
Delhi,2155-09-30,226,30.1,23.5,30.3,40.8,30.6,62,7,Rural,549
São Paulo,2155-10-01,432,14.8,63.5,32.3,47.3,16.6,33,8,Urban,702
Los Angeles,2155-10-02,265,16.8,50.5,17.5,37.4,18.1,48,7,Urban,1219
Los Angeles,2155-10-03,227,23.0,56.2,17.6,59.1,12.3,33,6,Rural,737
London,2155-10-04,131,55.1,37.4,21.4,45.8,34.6,25,9,Urban,199
Mexico City,2155-10-05,357,51.2,67.5,17.5,47.5,25.3,52,3,Rural,1149
Beijing,2155-10-06,133,24.9,4.2,31.9,37.4,-2.5,52,0,Urban,1041
Beijing,2155-10-07,426,41.3,36.3,37.1,41.4,-0.1,39,7,Suburban,1696
Delhi,2155-10-08,298,46.6,30.7,11.8,49.6,28.0,23,8,Suburban,1207
London,2155-10-09,177,7.8,79.9,37.4,28.2,13.6,74,2,Suburban,171
London,2155-10-10,33,30.2,61.7,27.8,57.4,38.2,87,5,Urban,915
Beijing,2155-10-11,234,53.8,49.9,25.9,27.6,26.5,78,0,Urban,136
Beijing,2155-10-12,382,53.4,74.3,55.0,37.5,27.3,20,7,Urban,1900
Mexico City,2155-10-13,362,69.8,68.1,40.9,32.2,31.5,87,15,Suburban,1940
Mexico City,2155-10-14,256,37.6,49.2,35.8,40.6,10.2,40,0,Suburban,126
Mexico City,2155-10-15,409,56.6,11.1,33.9,5.1,-0.4,39,10,Rural,657
Delhi,2155-10-16,269,57.5,56.2,41.7,53.6,8.8,53,6,Suburban,584
Mexico City,2155-10-17,176,32.8,1.1,26.1,18.4,7.6,32,9,Suburban,736
Los Angeles,2155-10-18,8,64.9,26.7,19.6,45.3,11.1,23,6,Urban,372
Delhi,2155-10-19,399,42.3,4.3,23.3,31.2,14.2,86,5,Urban,270
Mexico City,2155-10-20,24,10.8,78.6,28.2,54.4,15.5,91,5,Suburban,301
Beijing,2155-10-21,391,34.0,33.9,20.9,40.9,30.8,64,13,Urban,1003
Tokyo,2155-10-22,292,40.6,52.9,27.9,30.7,34.8,39,8,Urban,1520
Tokyo,2155-10-23,84,29.4,52.2,37.4,51.8,-1.0,85,12,Suburban,783
Mexico City,2155-10-24,238,27.0,52.4,45.4,44.8,24.8,72,6,Urban,430
Beijing,2155-10-25,320,36.9,94.3,32.1,15.3,13.6,36,5,Suburban,1611
Tokyo,2155-10-26,176,50.9,28.8,11.3,21.9,20.1,93,13,Rural,267
Delhi,2155-10-27,484,24.4,66.0,11.5,59.3,33.4,93,5,Rural,652
Beijing,2155-10-28,26,51.8,35.6,26.4,16.0,-3.5,70,13,Rural,1062
Beijing,2155-10-29,150,40.3,16.2,24.8,46.4,-1.7,92,9,Urban,1838
Delhi,2155-10-30,236,43.4,93.8,18.2,29.8,39.7,39,13,Rural,1789
Tokyo,2155-10-31,237,41.8,24.8,30.8,37.3,26.8,51,7,Suburban,1137
Delhi,2155-11-01,464,57.1,43.7,21.3,40.8,38.0,61,10,Urban,341
Los Angeles,2155-11-02,149,47.5,16.7,15.2,36.7,33.8,89,6,Urban,935
Los Angeles,2155-11-03,20,38.7,51.5,41.2,49.4,-0.0,72,6,Urban,1819
Mexico City,2155-11-04,354,35.1,68.5,25.3,60.9,22.1,23,9,Suburban,397
Delhi,2155-11-05,451,38.8,40.0,43.7,47.7,2.6,49,11,Urban,1714
Beijing,2155-11-06,19,15.5,32.2,27.3,57.7,24.4,81,9,Urban,1779
Tokyo,2155-11-07,367,48.9,25.4,31.3,24.3,29.9,55,4,Urban,374
Beijing,2155-11-08,450,12.5,35.2,32.1,25.6,38.2,59,10,Suburban,716
Delhi,2155-11-09,299,52.4,69.3,30.1,35.7,8.1,22,9,Urban,978
Los Angeles,2155-11-10,279,29.8,55.8,30.6,44.2,11.2,85,15,Rural,1427
Mexico City,2155-11-11,306,22.9,63.7,24.9,50.9,15.7,44,7,Urban,732
Mexico City,2155-11-12,194,44.2,2.8,28.5,31.2,14.4,70,11,Urban,148
Beijing,2155-11-13,472,55.9,99.3,35.8,19.5,17.4,86,7,Urban,1712
Beijing,2155-11-14,126,54.1,47.4,34.8,15.7,4.2,43,9,Urban,397
Delhi,2155-11-15,298,15.0,62.0,33.5,47.6,-2.6,73,4,Suburban,1280
Mexico City,2155-11-16,309,65.7,37.2,34.0,46.0,9.8,69,16,Rural,1916
São Paulo,2155-11-17,37,40.5,16.4,30.3,23.6,17.6,41,11,Urban,1987
Los Angeles,2155-11-18,173,38.8,45.9,14.9,22.5,33.6,42,8,Urban,957
Mexico City,2155-11-19,455,27.1,8.8,26.2,24.5,29.4,79,3,Suburban,871
Mexico City,2155-11-20,443,26.7,63.2,49.2,39.2,35.4,90,9,Rural,57
Los Angeles,2155-11-21,407,41.7,26.2,33.9,40.9,2.3,28,10,Urban,766
Beijing,2155-11-22,355,10.8,26.5,41.9,41.9,3.2,63,10,Suburban,1647
London,2155-11-23,323,27.4,49.4,33.4,59.6,3.6,79,10,Urban,335
Mexico City,2155-11-24,163,44.8,34.7,43.8,57.2,4.5,40,5,Urban,1331
Delhi,2155-11-25,150,46.3,38.3,14.0,25.7,15.0,63,8,Suburban,1219
Mexico City,2155-11-26,493,32.0,52.4,24.8,52.2,1.0,38,14,Urban,1440
Delhi,2155-11-27,167,6.3,50.8,47.6,42.5,20.8,64,15,Urban,700
Beijing,2155-11-28,461,23.9,60.4,40.3,35.1,31.8,26,3,Urban,781
London,2155-11-29,18,55.3,61.7,22.5,43.9,-4.1,75,11,Urban,78
Los Angeles,2155-11-30,131,24.9,75.5,39.4,42.3,37.3,42,6,Urban,1974
Delhi,2155-12-01,96,28.3,53.9,38.2,47.6,15.4,52,14,Suburban,460
Los Angeles,2155-12-02,82,39.0,58.6,18.2,47.4,13.8,21,13,Urban,1113
Delhi,2155-12-03,194,21.0,41.1,24.2,53.8,-1.8,28,8,Urban,1522
Mexico City,2155-12-04,263,20.1,63.8,16.0,51.3,1.4,63,10,Rural,1278
Beijing,2155-12-05,175,29.3,38.4,20.5,35.4,25.2,37,12,Urban,913
Mexico City,2155-12-06,301,36.9,46.0,19.2,28.7,7.5,38,4,Suburban,835
London,2155-12-07,497,24.6,74.9,22.5,39.5,-2.6,45,3,Urban,1686
Delhi,2155-12-08,196,38.6,78.9,34.4,36.3,39.1,67,9,Urban,821
Mexico City,2155-12-09,367,50.3,109.2,37.8,20.1,-4.7,20,11,Urban,484
Mexico City,2155-12-10,264,64.1,52.1,34.3,36.3,-2.2,26,18,Urban,1989
Los Angeles,2155-12-11,477,25.4,24.8,43.5,38.2,38.7,20,7,Urban,615
Cairo,2155-12-12,161,47.3,81.4,42.1,54.1,28.5,20,12,Urban,547
Beijing,2155-12-13,66,32.7,12.4,19.3,42.5,32.2,77,10,Rural,1840
Delhi,2155-12-14,262,50.0,71.5,35.1,62.7,5.2,54,13,Rural,1747
Mexico City,2155-12-15,113,25.6,46.0,32.1,63.9,21.7,51,8,Rural,733
Beijing,2155-12-16,404,67.3,79.2,48.5,33.1,28.7,51,6,Urban,502
London,2155-12-17,82,26.5,53.5,33.5,40.5,-0.8,45,2,Suburban,341
Los Angeles,2155-12-18,30,35.5,57.4,22.1,59.1,10.2,33,11,Urban,1712
Los Angeles,2155-12-19,370,25.4,53.0,17.8,38.8,23.4,75,15,Rural,80
Beijing,2155-12-20,249,6.3,71.3,29.0,57.0,0.6,60,5,Suburban,1750
Beijing,2155-12-21,102,24.2,56.3,39.3,40.7,5.6,67,9,Urban,418
Tokyo,2155-12-22,53,15.5,72.9,34.2,43.1,-4.4,80,10,Suburban,1086
Beijing,2155-12-23,306,41.8,55.7,23.3,33.6,11.7,47,11,Suburban,1508
Mexico City,2155-12-24,279,35.6,52.3,24.6,54.0,18.0,59,12,Rural,341
Mexico City,2155-12-25,250,29.1,51.2,18.7,44.1,24.8,55,12,Urban,1829
Delhi,2155-12-26,128,53.7,17.5,20.0,25.6,10.8,29,11,Rural,635
Los Angeles,2155-12-27,275,29.9,47.5,35.7,39.3,8.4,67,3,Suburban,1018
Delhi,2155-12-28,448,49.8,42.2,21.3,38.6,11.2,46,10,Urban,941
São Paulo,2155-12-29,4,49.1,30.7,35.1,32.0,-2.7,51,9,Suburban,595
Mexico City,2155-12-30,455,38.6,46.3,38.6,59.3,19.9,90,3,Urban,880
Delhi,2155-12-31,217,1.6,47.0,21.1,14.5,24.8,80,5,Urban,1317
Los Angeles,2156-01-01,170,28.3,60.5,20.9,37.9,3.3,51,1,Urban,451
London,2156-01-02,155,20.1,45.6,33.0,59.8,20.9,47,7,Suburban,1544
Delhi,2156-01-03,233,44.8,31.4,11.6,34.9,-3.6,20,4,Rural,1557
Delhi,2156-01-04,344,34.4,51.0,26.7,30.4,38.5,75,4,Urban,792
Beijing,2156-01-05,148,40.4,41.3,43.9,46.5,18.8,85,10,Urban,1452
Mexico City,2156-01-06,361,24.0,53.6,21.4,19.9,28.3,61,4,Urban,1046
Delhi,2156-01-07,62,42.1,53.7,48.6,72.6,33.9,79,11,Suburban,1491
Mexico City,2156-01-08,395,47.3,46.5,39.8,34.3,18.5,24,9,Urban,1031
Beijing,2156-01-09,117,69.0,52.0,23.2,62.7,36.2,61,15,Rural,1394
London,2156-01-10,72,52.3,77.4,10.4,14.3,29.1,74,5,Urban,702
London,2156-01-11,454,31.2,29.0,11.5,24.5,29.6,47,5,Urban,1716
Delhi,2156-01-12,496,55.3,63.3,33.2,25.4,24.7,54,9,Suburban,1685
Los Angeles,2156-01-13,281,46.8,84.3,19.4,39.7,10.7,87,11,Urban,1233
Beijing,2156-01-14,478,23.3,23.8,33.0,26.2,3.6,69,7,Suburban,1376
Beijing,2156-01-15,401,51.5,59.4,27.7,32.8,7.5,77,15,Urban,122
Delhi,2156-01-16,327,37.3,76.4,32.8,26.6,25.1,40,7,Suburban,1972
Los Angeles,2156-01-17,54,35.0,38.1,36.0,52.9,0.1,72,8,Urban,369
London,2156-01-18,116,49.6,27.6,30.2,48.2,33.3,37,13,Suburban,652
Delhi,2156-01-19,369,23.4,55.4,43.4,59.9,19.9,61,7,Urban,812
Delhi,2156-01-20,462,4.5,37.1,32.4,10.0,16.9,23,7,Rural,1744
Mexico City,2156-01-21,196,22.6,27.5,31.8,43.8,5.3,58,7,Suburban,142
São Paulo,2156-01-22,230,34.2,49.7,22.7,37.8,14.5,41,8,Suburban,437
Mexico City,2156-01-23,248,27.5,58.8,25.3,20.8,13.8,73,5,Suburban,276
Delhi,2156-01-24,229,48.8,64.6,41.5,49.2,21.8,83,11,Urban,62
London,2156-01-25,421,48.4,56.5,22.2,55.8,-4.2,85,11,Suburban,134
Beijing,2156-01-26,17,30.9,64.7,45.3,36.5,39.2,77,11,Urban,1655
Beijing,2156-01-27,26,46.7,70.3,35.9,38.4,18.3,47,2,Urban,1375
Delhi,2156-01-28,292,28.5,44.6,32.4,34.1,26.4,60,10,Suburban,291
Delhi,2156-01-29,248,57.8,49.6,25.4,49.9,33.5,89,9,Urban,561
Mexico City,2156-01-30,95,64.0,26.4,42.8,36.0,-2.1,41,9,Suburban,731
London,2156-01-31,401,27.2,47.1,37.6,33.8,1.6,78,5,Urban,1726
Los Angeles,2156-02-01,68,13.0,16.6,32.1,43.5,12.4,89,7,Urban,291
Tokyo,2156-02-02,65,25.4,21.9,25.6,39.7,25.3,39,11,Suburban,114
Beijing,2156-02-03,87,55.3,45.0,0.6,40.8,3.7,27,14,Urban,151
Mexico City,2156-02-04,330,9.0,60.8,28.6,49.1,26.3,65,8,Suburban,759
Mexico City,2156-02-05,258,42.7,21.9,22.2,61.3,28.0,27,6,Suburban,1449
Beijing,2156-02-06,461,20.4,70.4,31.5,48.9,-0.9,35,3,Urban,404
Delhi,2156-02-07,385,15.4,51.0,37.3,30.3,14.5,59,7,Urban,1595
London,2156-02-08,151,47.2,74.8,24.7,33.5,-4.5,88,6,Urban,1621
Delhi,2156-02-09,88,35.8,61.1,22.7,66.6,31.4,28,13,Urban,277
Cairo,2156-02-10,19,54.5,40.9,34.3,34.4,0.1,22,13,Suburban,123
London,2156-02-11,124,57.9,44.3,47.2,24.5,19.2,87,14,Suburban,704
Delhi,2156-02-12,482,25.2,72.6,17.1,20.8,26.6,73,9,Rural,94
Delhi,2156-02-13,155,33.2,39.6,60.5,14.8,21.8,21,4,Urban,1633
Los Angeles,2156-02-14,87,40.4,40.6,23.7,15.0,28.3,76,12,Urban,1809
Beijing,2156-02-15,67,25.6,36.4,44.0,62.4,2.0,52,7,Suburban,865
Mexico City,2156-02-16,337,49.4,30.3,35.8,46.8,24.3,34,1,Urban,456
Delhi,2156-02-17,424,39.4,69.3,19.9,40.8,19.2,82,3,Urban,1111
Tokyo,2156-02-18,339,30.9,50.2,26.1,22.6,12.7,90,13,Suburban,364
Beijing,2156-02-19,17,31.2,69.2,15.7,34.2,5.5,83,4,Urban,1534
Mexico City,2156-02-20,421,55.9,45.5,20.1,51.3,32.0,47,6,Suburban,280
São Paulo,2156-02-21,285,28.2,54.4,19.5,34.4,-0.9,46,10,Urban,272
Los Angeles,2156-02-22,323,54.8,44.7,26.1,69.1,10.7,78,8,Suburban,292
Mexico City,2156-02-23,476,37.1,57.6,16.4,44.8,39.8,41,8,Urban,1915
London,2156-02-24,172,7.9,105.9,23.0,47.0,14.5,48,9,Suburban,1356
São Paulo,2156-02-25,106,9.0,28.7,29.8,38.5,20.0,57,8,Rural,1147
London,2156-02-26,71,29.3,47.0,45.6,44.1,37.1,68,6,Rural,1006
London,2156-02-27,205,42.4,31.4,18.3,37.8,7.7,90,5,Suburban,1889
Delhi,2156-02-28,341,38.3,48.0,25.4,39.9,3.2,63,4,Urban,924
London,2156-02-29,466,29.8,57.5,23.2,38.8,16.1,62,7,Suburban,1051
Tokyo,2156-03-01,317,35.5,70.6,20.1,35.8,39.9,48,10,Urban,513
Mexico City,2156-03-02,287,46.0,34.7,39.6,54.6,2.5,43,9,Rural,432
Mexico City,2156-03-03,129,6.1,73.5,24.0,52.9,-2.1,62,6,Rural,615
Mexico City,2156-03-04,368,33.7,34.8,9.1,45.3,17.4,43,5,Urban,312
Beijing,2156-03-05,122,31.9,57.1,21.3,39.7,36.3,36,3,Urban,988
Delhi,2156-03-06,440,49.7,45.1,35.2,45.2,-4.2,65,7,Rural,1452
Mexico City,2156-03-07,388,32.2,28.6,24.6,39.2,8.6,60,12,Urban,1196
Beijing,2156-03-08,76,11.8,74.3,30.9,39.8,13.6,58,11,Urban,698
Beijing,2156-03-09,496,48.6,30.6,45.6,35.6,5.0,76,7,Urban,905
Tokyo,2156-03-10,236,19.8,61.7,29.1,36.4,12.0,66,10,Rural,1719
Delhi,2156-03-11,469,28.5,44.3,4.8,31.1,22.9,26,0,Urban,1897
Cairo,2156-03-12,384,17.4,36.4,25.3,23.9,0.3,66,5,Urban,1611
Mexico City,2156-03-13,423,30.9,60.8,13.5,34.3,5.1,49,7,Suburban,1065
Tokyo,2156-03-14,498,37.3,34.7,10.7,27.0,-1.2,55,11,Suburban,1646
Delhi,2156-03-15,68,14.7,41.9,21.2,42.0,31.4,68,5,Urban,1423
Delhi,2156-03-16,89,53.1,46.5,34.1,46.1,29.9,63,6,Urban,1602
